(a,a)
(aaaaabbcdrr,abracadabra)
(aaaaacgillmmnrty,anagrammatically)
(aaaaacgilmmnrt,anagrammatical)
(aaaaagiimmnnorttz,anagrammatization)
(aaaabcceelrtu,baccalaureate)
(aaaabcchiln,bacchanalia)
(aaaabcchilnn,bacchanalian)
(aaaabcdiillty,adiabatically)
(aaaabdeehiiiiilmmnnnrssssttt,antidisestablishmentarianism)
(aaaabdilmorss,ambassadorial)
(aaaabehlpprrs,paraphrasable)
(aaaabikll,balalaika)
(aaaabiklls,balalaikas)
(aaaabjlmy,jambalaya)
(aaaaccccirtu,acciaccatura)
(aaaaccdhillmmnopryy,pharmacodynamically)
(aaaaccdiiklllsy,lackadaisically)
(aaaaccdiiklls,lackadaisical)
(aaaaccehhlnnopt,acanthocephalan)
(aaaacchhillmsttw,whatchamacallits)
(aaaacchhillmttw,whatchamacallit)
(aaaacchillop,apalachicola)
(aaaaccillprtty,paratactically)
(aaaaccilprtt,paratactical)
(aaaacclmnorst,malacostracan)
(aaaacclrtt,cataractal)
(aaaacdghiillmprty,diaphragmatically)
(aaaacdgiiilmmrtty,diagrammaticality)
(aaaacdgiillmmrty,diagrammatically)
(aaaacdgiilmmrt,diagrammatical)
(aaaacdgiilmprt,paradigmatical)
(aaaacdiillprsy,paradisaically)
(aaaacdiillprsy,paradisiacally)
(aaaacdiilprs,paradisaical)
(aaaacdiilprs,paradisiacal)
(aaaacdmmrt,tarmacadam)
(aaaaceehiimmmnttt,metamathematician)
(aaaaceehilmmmttt,metamathematical)
(aaaacegilllmmnoy,megalomaniacally)
(aaaacegillmmno,megalomaniacal)
(aaaacegillmnprty,paramagnetically)
(aaaacgimmnrt,anagrammatic)
(aaaachillpprrsty,paraphrastically)
(aaaacimnrsst,antimacassar)
(aaaacmnrt,catamaran)
(aaaacnrrsvy,caravansary)
(aaaaddiilnnorrstttuz,ultrastandardization)
(aaaadeglmmt,amalgamated)
(aaaadillnoptty,adaptationally)
(aaaadilmnoptt,maladaptation)
(aaaadilnoptt,adaptational)
(aaaaegilmmstz,amalgamatizes)
(aaaaegilmmtv,amalgamative)
(aaaaegilmmtz,amalgamatize)
(aaaaegimmnrtz,anagrammatize)
(aaaaeglmmst,amalgamates)
(aaaaeglmmt,amalgamate)
(aaaaegnrstvxz,extravaganzas)
(aaaaegnrtvxz,extravaganza)
(aaaaehilnpprr,paraphernalia)
(aaaaeiilmnnprrst,parliamentarians)
(aaaaeiilmnnprrt,parliamentarian)
(aaaaggilmmnt,amalgamating)
(aaaaghimnoprst,phantasmagoria)
(aaaaghopprrtu,autoparagraph)
(aaaagiilmmnotz,amalgamization)
(aaaagilmmnot,amalgamation)
(aaaaglmmort,amalgamator)
(aaaahhjmr,maharajah)
(aaaahjmr,maharaja)
(aaaaiillmnrt,antimalarial)
(aaaaiillnopttz,palatalization)
(aaaailllnnnooprsttt,allotransplantation)
(aaaaillprrss,sarsaparilla)
(aaaailnnnooprsttttu,autotransplantation)
(aaaailnps,anaplasia)
(aaaallvv,lavalava)
(aaaanrrtt,tarantara)
(aaabbcelrstt,abstractable)
(aaabbciiillmno,bibliomaniacal)
(aaabbcillrry,barbarically)
(aaabbcilst,sabbatical)
(aaabbcl,cabbala)
(aaabbdelr,abradable)
(aaabbeelmrrss,embarrassable)
(aaabbeiinrrsz,barbarianizes)
(aaabbeiinrrz,barbarianize)
(aaabbiimnrrs,barbarianism)
(aaabbiinorrtz,barbarization)
(aaabbinrr,barbarian)
(aaabbinrrs,barbarians)
(aaabcceehilrrstz,characterizables)
(aaabcceehilrrtz,characterizable)
(aaabcceiillmtz,acclimatizable)
(aaabcceillrrtuuy,bureaucratically)
(aaabcchln,bacchanal)
(aaabcchnr,charabanc)
(aaabccillloty,catabolically)
(aaabccillorty,acrobatically)
(aaabccknsv,canvasback)
(aaabccrt,baccarat)
(aaabcddeioorrrst,radiobroadcaster)
(aaabcddgiinoorrst,radiobroadcasting)
(aaabcddioorrst,radiobroadcast)
(aaabcdeeinr,abecedarian)
(aaabcdehilnnnoorrtty,tetrahydrocannabinol)
(aaabcdehinrtu,chateaubriand)
(aaabcdeirs,scarabaeid)
(aaabcdelnr,candelabra)
(aaabcdiillty,adiabaticlly)
(aaabcdiit,adiabatic)
(aaabcdrrsu,barracudas)
(aaabcdrru,barracuda)
(aaabceefgllmou,camouflageable)
(aaabceeilnrst,ascertainable)
(aaabcegilllry,algebraically)
(aaabcegiln,balenciaga)
(aaabcehilllpty,alphabetically)
(aaabcehillpt,alphabetical)
(aaabcehilnoppr,inapproachable)
(aaabcehilnpt,analphabetic)
(aaabcehlnoppru,unapproachable)
(aaabcehloppr,approachable)
(aaabcehltt,attachable)
(aaabceiillpstz,capitalizables)
(aaabceiillptz,capitalizable)
(aaabceiilnptt,anticipatable)
(aaabceiilnrtt,antibacterial)
(aaabceiinorrttuuz,bureaucratization)
(aaabceillnory,anaerobically)
(aaabceilrt,abacterial)
(aaabcekltt,attackable)
(aaabcelllot,allocatable)
(aaabcelnrrtu,tabernacular)
(aaabcelrttt,attractable)
(aaabcghiillooprtuy,autobiographically)
(aaabcghiilooprtu,autobiographical)
(aaabchiilnoott,cohabitational)
(aaabchiilnopprtuy,unapproachability)
(aaabchiilopprty,approachability)
(aaabchinrt,batrachian)
(aaabchlnoppruy,unapproachably)
(aaabchls,calabash)
(aaabciiilnnnotz,cannibalization)
(aaabciiinrrt,bariatrician)
(aaabciilloprty,parabiotically)
(aaabciilmnorsuv,vocabularianism)
(aaabciilnoorsttu,bioastronautical)
(aaabciinnoorttz,carbonatization)
(aaabcilllopry,parabolically)
(aaabcilnorstt,abstractional)
(aaabcilnoruv,vocabularian)
(aaabcint,anabatic)
(aaabcl,cabala)
(aaabcllmru,ambulacral)
(aaabclnot,canalboat)
(aaabcn,cabana)
(aaabcnrr,barranca)
(aaabcns,cabanas)
(aaabcor,carabao)
(aaabcpry,capybara)
(aaabcs,casaba)
(aaabcss,cassaba)
(aaabctw,catawba)
(aaabddeilnrsstz,standardizables)
(aaabddeilnrstz,standardizable)
(aaabdeehiiilmnnrssstt,disestablishmentarian)
(aaabdeggilnrz,aggrandizable)
(aaabdeggnov,vagabondage)
(aaabdegiillnoz,diagonalizable)
(aaabdegilmmr,diagrammable)
(aaabdeilmnrstuz,undramatizables)
(aaabdeilmnrtuz,undramatizable)
(aaabdeilmrstz,dramatizables)
(aaabdeilmrtz,dramatizable)
(aaabdekry,bayaderka)
(aaabdellppu,applaudable)
(aaabdelnptu,unadaptable)
(aaabdelpt,adaptable)
(aaabdelrw,awardable)
(aaabdemrssss,ambassadress)
(aaabdenrs,sarabande)
(aaabdesst,databases)
(aaabdest,database)
(aaabdhimoprsss,ambassadorship)
(aaabdiilptty,adaptability)
(aaabdiinorsttz,bastardization)
(aaabdilloopr,paraboloidal)
(aaabdills,sabadilla)
(aaabdknst,databanks)
(aaabdllppuy,applaudably)
(aaabdmnrru,barramunda)
(aaabdmorss,ambassador)
(aaabdmorsss,ambassadors)
(aaabdnn,bandana)
(aaabdnnn,bandanna)
(aaabdnrs,saraband)
(aaabdnrt,abradant)
(aaabdorrst,astarboard)
(aaabeeeglmnnss,manageableness)
(aaabeeeglnrrr,rearrangeable)
(aaabeeeilmprrtz,parameterizable)
(aaabeegilmrr,marriageable)
(aaabeegllsv,salvageable)
(aaabeeglmn,manageable)
(aaabeeglmnnu,unmanageable)
(aaabeeglnrr,arrangeable)
(aaabeeglnssuu,unassuageable)
(aaabeehiiilmmnnrssstt,establishmentarianism)
(aaabeehiilmnnrsstt,establishmentarian)
(aaabeeillnnssssu,unassailableness)
(aaabeeillnssv,availableness)
(aaabeeilmprrtz,parametrizable)
(aaabeeilmrtv,metavariable)
(aaabeeilnnsstt,attainableness)
(aaabeeilnpps,inappeasable)
(aaabeellnppu,unappealable)
(aaabeellnpsst,palatableness)
(aaabeellpp,appealable)
(aaabeelnnrrsstw,warrantableness)
(aaabeelnppsu,unappeasable)
(aaabeelpps,appeasable)
(aaabefhillnorstu,ultrafashionable)
(aaabegggmn,baggageman)
(aaabegiillnouv,bougainvillaea)
(aaabegiillstvy,salvageability)
(aaabegiilmnty,manageability)
(aaabegiilnortz,algebraization)
(aaabegilnnnostuz,unantagonizables)
(aaabegilnnnotuz,unantagonizable)
(aaabeglmnnuy,unmanageably)
(aaabeglmny,manageably)
(aaabehiilnopsttz,alphabetizations)
(aaabehiilnopttz,alphabetization)
(aaabehilmnpst,analphabetism)
(aaabehlnpt,analphabet)
(aaabeiiiillstv,availabilities)
(aaabeiillnorstz,rationalizables)
(aaabeiillnortz,rationalizable)
(aaabeiillppty,appealability)
(aaabeiilmnnntu,unmaintainable)
(aaabeiilmnnt,maintainable)
(aaabeillmnot,balletomania)
(aaabeillmnptu,manipulatable)
(aaabeillnnrstuuz,unnaturalizables)
(aaabeillnnrtuuz,unnaturalizable)
(aaabeillnssu,unassailable)
(aaabeillnuv,unavailable)
(aaabeillss,assailable)
(aaabeillv,available)
(aaabeillv,avaliable)
(aaabeilnnqrtu,quarantinable)
(aaabeilnnttu,unattainable)
(aaabeilnorrt,aberrational)
(aaabeilnrst,alabastrine)
(aaabeilntt,attainable)
(aaabeinnrssttttu,transubstantiate)
(aaabekrwy,breakaway)
(aaabellmmnoost,melanoblastoma)
(aaabellnnprstt,transplantable)
(aaabellnnuyz,unanalyzable)
(aaabellnptu,unpalatable)
(aaabellnrstt,translatable)
(aaabellnyz,analyzable)
(aaabellpt,palatable)
(aaabelmottu,automatable)
(aaabelnnrrtuw,unwarrantable)
(aaabelnppsuy,unappeasably)
(aaabelnrrtw,warrantable)
(aaabelrst,alabaster)
(aaabghioopr,agoraphobia)
(aaabghpprrsu,subparagraph)
(aaabgrstu,rutabagas)
(aaabgrtu,rutabaga)
(aaabhinny,bayanihan)
(aaabiiiilmnntty,maintainability)
(aaabiiillnotz,labialization)
(aaabiiillnsstuy,unassailability)
(aaabiiillntuvy,unavailability)
(aaabiiilltvy,availability)
(aaabiiilnntttuy,unattainability)
(aaabiiilnttty,attainability)
(aaabiiklnnotz,balkanization)
(aaabiillnnprsttty,transplantability)
(aaabiillnpttuy,unpalatability)
(aaabiillnrsttty,translatability)
(aaabiillptty,palatability)
(aaabiilnorrtt,arbitrational)
(aaabiilnorttuz,tabularization)
(aaabiinnnorssttttu,transubstantiation)
(aaabiinortz,arabization)
(aaabillnssuy,unassailably)
(aaabillvy,availably)
(aaabilmnorsttu,masturbational)
(aaabilnnrsstttu,transubstantial)
(aaabilntty,attainably)
(aaabiltt,battalia)
(aaabilx,abaxial)
(aaabimnpst,anabaptism)
(aaabinss,anabasis)
(aaabklv,baklava)
